Fórmula,Disponibilidad,Orden,Nombre,Descripción,Imagen,Precio,Etapa,Categoría,Tamaño,Ancho,Largo,Alto,Diametro,Motores,Operación y Requerimientos,Imagen_1,Imagen_2,Imagen_3,Imagen_4,Imagen_5,Sucursal,Participantes,Rango_edad,Operador,Motores_sopladores,mostrar en sitio,Inventario,BambinosID,ID de Sucursal,ID de Categoría,Número de Juego,Fecha Lanzamiento,Duracion,Popular
Bonce MaxMonterrey,in stock,29,Bonce Max,Ideal para temporada de Calor y de Frío. Réntalo como juego interactivo en Invierno o como juego Acuático en Verano. Diversión para todo el año,https://i.imgur.com/1ff44LM.png,"$2,890","Niños, Adolescentes, Adultos",Acuático,Grande,12.5,3.4,3.4,0,impulsado por 2 motores sopladores,con opción a instalar a pie de alberca.,https://i.imgur.com/3vEb3Tt.png,https://i.imgur.com/7h5en3k.png,https://i.imgur.com/BdJCPW2.png,https://i.imgur.com/DvdntXH.png,https://i.imgur.com/w6cSZ46.png,Monterrey,Apto para hasta 25 participantes,mayores de 4 años.,No,2,Si,1,1021111067,102,111,1067,29/10/2020,Precio de renta por evento de hasta 5 horas.,TRUE
OrquitaMonterrey,in stock,30,Orquita,Para los amantes de la vida marina aquí está la pequeña Shamú. Un juego chico ideal para que los pequeños se diviertan por su cuenta.,https://i.imgur.com/icLJxIz.png,"$1,690","Infantes, Niños",Acuático,Chico,6.5,2.2,2.7,0,impulsado por 1 motor soplador,con opción a instalar a pie de alberca.,https://i.imgur.com/facyudK.png,https://i.imgur.com/ZxrlqVJ.png,https://i.imgur.com/z0O0cVS.png,https://i.imgur.com/RJR27FT.png,https://i.imgur.com/nB7y5tJ.png,Monterrey,Apto para hasta 10 participantes,menores de 6 años.,No,1,Si,1,1021111003,102,111,1003,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
TiburoncínMonterrey,in stock,31,Tiburoncín,-,https://i.imgur.com/CauOdEB.png,"$1,690","Infantes, Niños",Acuático,Chico,6.5,1.8,2.8,0,impulsado por 1 motor soplador,con opción a instalar a pie de alberca.,https://i.imgur.com/O7uW2Ym.png,https://i.imgur.com/bmDSgOR.png,https://i.imgur.com/WtiSX2O.png,https://i.imgur.com/jxD0imU.png,https://i.imgur.com/zeFRKdb.png,Monterrey,Apto para hasta 10 participantes,menores de 6 años.,No,1,Si,1,1021111007,102,111,1007,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
Palmeras SplashMonterrey,in stock,32,Palmeras Splash,Un juego petit para que tus pequeños se den un chapuzón y se diviertan sin parar.,https://i.imgur.com/KjYpOig.png,"$1,690","Infantes, Niños",Acuático,Mediano,5.5,3,2.1,0,impulsado por 1 motor soplador,con opción a instalar a pie de alberca.,https://i.imgur.com/tvZM1sJ.png,https://i.imgur.com/ZMZDqNu.png,https://i.imgur.com/JF9idIL.png,https://i.imgur.com/bJ7q8mx.png,https://i.imgur.com/vehTbBV.png,Monterrey,Apto para hasta 10 participantes,mayores de 5 años.,No,1,Si,1,1021111004,102,111,1004,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
Alberca con TechoMonterrey,in stock,33,Alberca con Techo,¿Poco espacio y mucho calor? Dénse un chapuzón todos juntos en la Alberca con Techo.,https://i.imgur.com/84cobIL.png,"$1,350","Infantes, Niños",Acuático,Chico,3,3,3,0,impulsado por 1 motor soplador,-,https://i.imgur.com/oT59FmO.png,https://i.imgur.com/oT59FmO.png,https://i.imgur.com/oT59FmO.png,https://i.imgur.com/oT59FmO.png,https://i.imgur.com/oT59FmO.png,Monterrey,Apto para hasta 10 participantes,mayores de 3 años.,No,1,Si,1,1021111064,102,111,1064,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
Mega AirbotMonterrey,in stock,34,Mega Airbot,-,https://i.imgur.com/QOTcw15.png,"$12,780","Niños, Adolescentes, Adultos",Interactivo,Extra grande,39,7,9,0,impulsado por 5 motores sopladores,-,https://i.imgur.com/tWeNqJB.png,https://i.imgur.com/tWeNqJB.png,https://i.imgur.com/tWeNqJB.png,https://i.imgur.com/tWeNqJB.png,https://i.imgur.com/tWeNqJB.png,Monterrey,Apto para hasta 20 participantes,mayores de 5 años.,No,1,Si,1,1024441093,102,444,1093,29/10/2020,Precio de renta por evento de hasta 5 horas. Se requiere instalación a pie de camioneta,FALSE
Airbot MódulosMonterrey,in stock,35,Airbot Módulos,-,https://i.imgur.com/QOTcw15.png,"$6,890","Niños, Adolescentes, Adultos",Interactivo,Extra grande,30,7,9,0,impulsado por 5 motores sopladores,-,https://i.imgur.com/tWeNqJB.png,https://i.imgur.com/tWeNqJB.png,https://i.imgur.com/tWeNqJB.png,https://i.imgur.com/tWeNqJB.png,https://i.imgur.com/tWeNqJB.png,Monterrey,Apto para hasta 20 participantes,mayores de 5 años.,No,1,Si,1,1024441108,102,444,1108,29/10/2020,Precio de renta por evento de hasta 5 horas. Se requiere instalación a pie de camioneta,FALSE
AirbotMonterrey,in stock,36,Airbot,Un Robot gigantésco ideal para sorprender a todos tus invitados.,https://i.imgur.com/RdADZwZ.png,"$9,490","Niños, Adolescentes, Adultos",Interactivo,Extra grande,13,6,8,0,impulsado por 5 motores sopladores,-,https://i.imgur.com/g5Qmf9a.png,https://i.imgur.com/g5Qmf9a.png,https://i.imgur.com/g5Qmf9a.png,https://i.imgur.com/UU99My0.png,https://i.imgur.com/JlVuut2.png,Monterrey,Apto para hasta 20 participantes,mayores de 5 años.,No,1,Si,1,1024441021,102,444,1021,29/10/2020,Precio de renta por evento de hasta 5 horas. Se requiere instalación a pie de camioneta,FALSE
Adrenaline ZoneMonterrey,in stock,37,Adrenaline Zone,"El Adrenaline es un juego de gran tamaño lleno de obstáculos, túneles y pasadizos secretos para que tus pequeños se diviertan.",https://i.imgur.com/5nz3YSl.png,"$6,590","Niños, Adolescentes, Adultos",Interactivo,Extra grande,13,11,5,0,impulsado por 4 motores sopladores,-,https://i.imgur.com/VoO8GsL.png,https://i.imgur.com/eFVVnRe.png,https://i.imgur.com/hRPWWKM.png,https://i.imgur.com/cNldYWb.png,https://i.imgur.com/eFVVnRe.png,Monterrey,Apto para hasta 40 participantes,mayores de 4 años.,No,1,Si,1,1024441020,102,444,1020,29/10/2020,Precio de renta por evento de hasta 5 horas. Se requiere instalación a pie de camioneta,FALSE
Nefy CourseMonterrey,in stock,38,Nefy Course,-,https://i.imgur.com/pWgzftu.png,"$6,590",Niños,Interactivo,Extra grande,8.6,8,5,0,impulsado por 4 motores sopladores,-,https://i.imgur.com/pIAWQhM.png,https://i.imgur.com/wzrO1jE.png,https://i.imgur.com/iJ4SMuB.png,https://i.imgur.com/wzrO1jE.png,https://i.imgur.com/DUtXbiY.png,Monterrey,Apto para 30 participantes,mayores de 6 años.,No,4,Si,1,1024441088,102,444,1088,29/6/2023,Precio de renta por evento de hasta 5 horas,FALSE
Carrera de ObstáculosMonterrey,in stock,39,Carrera de Obstáculos,"23 metros de pura diversión. Conocido también como La Ciudad Brincolín, porque encontrarás de todo para divertirte. Ideal para una fiesta con actividades de destreza",https://i.imgur.com/IEKN754.png,"$5,720","Niños, Adolescentes, Adultos",Interactivo,Extra grande,24,3.6,4.5,0,impulsado por 3 motores,-,https://i.imgur.com/V6Gb8n8.png,https://i.imgur.com/lsWvxN4.png,https://i.imgur.com/vBFTd2S.png,https://i.imgur.com/lsWvxN4.png,https://i.imgur.com/ZpiwJEX.png,Monterrey,Apto para hasta 45 participantes,mayores de 5 años.,No,1,Si,1,1024441037,102,444,1037,29/10/2020,Precio de renta por evento de hasta 5 horas.,TRUE
Super TrackMonterrey,in stock,40,Super Track,-,https://i.imgur.com/V5D9jCg.png,"$5,690","Niños, Adolescentes, Adultos",Interactivo,Extra grande,19,5.8,4.4,0,impulsado por 3 motores,requiere instalación a pie de camioneta,https://i.imgur.com/U4WVqRV.png,https://i.imgur.com/l6Mq0C0.png,https://i.imgur.com/Wim4vs8.png,https://i.imgur.com/FdtlOFu.png,https://i.imgur.com/kOxhV3C.png,Monterrey,Apto para 40 participantes,mayores de 8 años.,No,3,Si,1,1024441087,102,444,1087,27/3/2023,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Yanga SlideMonterrey,in stock,41,Yanga Slide,"Un juego súper colorido y muy completo. Zonas Interactivas, Escaladoras, Toboganes, Obstáculos... Todo en un mismo lugar.",https://i.imgur.com/8lgKR5R.png,"$3,990",Niños,Interactivo,Grande,8,5.8,5,0,impulsado por 2 motores,-,https://i.imgur.com/LuMWoXE.png,https://i.imgur.com/Rfdssg2.png,https://i.imgur.com/SiAHxxY.png,https://i.imgur.com/rOD3zlU.png,https://i.imgur.com/7bw6Uej.png,Monterrey,Apto para 24 participantes,mayores de 4 años.,No,1,Si,2,1024441086,102,444,1086,27/3/2023,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,TRUE
Laberinto InteractivoMonterrey,in stock,42,Laberinto Interactivo,PRÓXIMAMENTE,https://i.imgur.com/1RxBUvt.png,"$3,890","Niños, Adolescentes",Interactivo,Grande,12,6,3.5,0,impulsado por 2 motores,-,https://i.imgur.com/XvvHTYK.png,https://i.imgur.com/3q7M0bZ.png,https://i.imgur.com/LCRkXcR.png,https://i.imgur.com/q0DzAi0.png,https://i.imgur.com/qcKYGS1.png,Monterrey,Apto para 35 participantes,mayores de 5 años.,No,2,Si,1,1024441100,102,444,1100,25/1125,Precio de renta por evento de 5 a 6 horas.,TRUE
MulticomboMonterrey,in stock,43,Multicombo,PRÓXIMAMENTE,https://i.imgur.com/TqYeFVD.png,"$3,890","Niños, Adolescentes, Adultos",Interactivo,Grande,9.2,6.2,3.5,0,impulsado por 2 motores,requiere instalación a pie de camioneta,https://i.imgur.com/Tk821n8.png,https://i.imgur.com/OVjbDYj.png,https://i.imgur.com/8TlnFqT.png,https://i.imgur.com/QOnUcYg.png,https://i.imgur.com/S6gu6xM.png,Monterrey,Apto para 20 participantes,mayores de 5 años.,No,2,Si,1,1024441101,102,444,1101,25/1125,Precio de renta por evento de 5 a 6 horas.,FALSE
Tiara SlideMonterrey,in stock,44,Tiara Slide,-,https://i.imgur.com/X1IWGi8.png,"$3,820","Niños, Adolescentes, Adultos",Interactivo,Grande,14,3.6,4.5,0,impulsado por 3 motores,-,https://i.imgur.com/sjesFmg.png,https://i.imgur.com/qPIyCcD.png,https://i.imgur.com/vZZfYVl.png,https://i.imgur.com/8Qd6I8c.png,https://i.imgur.com/tZ9Xrjo.png,Monterrey,Apto para hasta 25 participantes,mayores de 5 años.,No,3,Si,1,1024441082,102,444,1082,29/10/2020,Precio de renta por evento de hasta 5 horas,TRUE
Budy Slide 2.0Monterrey,in stock,45,Budy Slide 2.0,"PRÓXIMAMENTE - Dividido en dos partes y con doble escaladora es uno de nuestros juegos más rentados, preferido por chicos y grandes",https://i.imgur.com/KVpdk1x.png,"$3,820","Niños, Adolescentes, Adultos",Interactivo,Grande,14,3.6,4.5,0,impulsado por 2 motores,-,https://i.imgur.com/AQuIMso.png,https://i.imgur.com/AQuIMso.png,https://i.imgur.com/7h7EtD2.png,https://i.imgur.com/utmLI5Q.png,https://i.imgur.com/PK8FJhI.png,Monterrey,Apto para 25 participantes,mayores de 5 años.,No,2,Si,1,1024441109,102,444,1109,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Budy SlideMonterrey,in stock,46,Budy Slide,"Dividido en dos partes y con doble escaladora es uno de nuestros juegos más rentados, preferido por chicos y grandes. Con materiales extraresistentes pueden subir toda la familia.",https://i.imgur.com/KVpdk1x.png,"$3,820","Niños, Adolescentes, Adultos",Interactivo,Grande,14,3.6,4.5,0,impulsado por 2 motores sopladores,-,https://i.imgur.com/AQuIMso.png,https://i.imgur.com/AQuIMso.png,https://i.imgur.com/7h7EtD2.png,https://i.imgur.com/utmLI5Q.png,https://i.imgur.com/PK8FJhI.png,Monterrey,Apto para hasta 25 participantes,mayores de 5 años.,No,1,Si,1,1024441026,102,444,1026,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
Deivis JumpMonterrey,in stock,47,Deivis Jump,PRÓXIMAMENTE,https://i.imgur.com/ZRsZ3J1.png,"$3,390",Niños,Interactivo,Mediano,9,3.7,3.3,0,Impulsado por 2 motores,-,https://i.imgur.com/FSHeCps.png,https://i.imgur.com/zyRWAic.png,https://i.imgur.com/OmE7If3.png,https://i.imgur.com/yOUgIWX.png,https://i.imgur.com/zyRWAic.png,Monterrey,Apto para 20 participantes,mayores de 3 años.,No,2,Si,1,1024441102,102,444,1102,25/1125,Precio de renta por evento de 5 a 6 horas.,TRUE
Boogie jumpMonterrey,in stock,48,Boogie jump,Con este juego no tendrás que preocuparte. Con una sola salida y entrada tendrás a tus pequeños vigilados en todo momento mientras ellos se divierten escalando y esquivando los obstáculos dentro del juego.,https://i.imgur.com/ywvP0xi.png,"$2,890","Niños, Adolescentes, Adultos",Interactivo,Mediano,10,3.5,3.7,0,impulsado por 2 motores sopladores.,-,https://i.imgur.com/EhWkmk7.png,https://i.imgur.com/gIuoDYD.png,https://i.imgur.com/OvIahtO.png,https://i.imgur.com/JZQKSsj.png,https://i.imgur.com/55ibxKZ.png,Monterrey,Apto para hasta 25 participantes,mayores de 5 años.,No,1,Si,1,1024441023,102,444,1023,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
ChicleraMonterrey,in stock,49,Chiclera,Una máquina de chicles gigante que hará tu fiesta aún más dulce. Ideal para fiestas temáticas como Charly y la Fábrica de Chocolates o World Candy.,https://i.imgur.com/oQCxu4I.png,"$2,790",Niños,Interactivo,Mediano,5,4,5.5,0,impulsado por 1 motor,-,https://i.imgur.com/gT2Se0N.png,https://i.imgur.com/auMPecF.png,https://i.imgur.com/q1kIlk3.png,https://i.imgur.com/ZkWvlQa.png,https://i.imgur.com/muzuE2L.png,Monterrey,Con capacidad hasta de 12 participantes.,mayores de 5 años.,No,1,Si,1,1024441079,102,444,1079,14/4/2022,Precio de renta por evento de hasta 5 horas,FALSE
GranjitaMonterrey,in stock,50,Granjita,"PRÓXIMAMENTE - Lleva la diversión de la granja directo a tu fiesta con un granero lleno de maíz, una montaña como tobogán y un campo de juego para que tu pequeñín se la pase como nunca.",https://i.imgur.com/kkQnYRV.png,"$3,590",Niños,Interactivo,Grande,10.5,5.2,4.5,0,Impulsado por 2 motores,-,https://i.imgur.com/4HvDQxg.png,https://i.imgur.com/vm0Ym2w.png,https://i.imgur.com/2v6RWv3.png,https://i.imgur.com/4HvDQxg.png,https://i.imgur.com/vm0Ym2w.png,Monterrey,Apto para 25 participantes,mayores de 5 años.,No,2,Si,1,1024441103,102,444,1103,25/1125,Precio de renta por evento de 3 horas.,FALSE
Smoosher JumpMonterrey,in stock,51,Smoosher Jump,"PRÓXIMAMENTE - Si buscas una opción interactiva para que tus invitados se diviertan conoce nuestro nuevo juego, lleno de áreas de salto, obstáculos, toboganes y horas de diversión.",https://i.imgur.com/kjoBtzw.png,"$2,490",Niños,Interactivo,Grande,6,6,3,0,impulsado por 1 motor soplador,-,https://i.imgur.com/LvV4VU2.png,https://i.imgur.com/XOHf5hP.png,https://i.imgur.com/iPHgUU4.png,https://i.imgur.com/7sYH0yh.png,https://i.imgur.com/MpeyLtB.png,Monterrey,Apto para 18 participantes,Mayores de 5 años.,No,1,Si,1,1024441104,102,444,1104,25/1125,Precio de renta por evento de 5 a 6 horas.,TRUE
Magic CastleMonterrey,in stock,52,Magic Castle,-,https://i.imgur.com/PmTH20D.png,"$2,390","Infantes, Niños",Interactivo,Mediano,7.5,5,2.5,0,impulsado por 1 motor soplador,-,https://i.imgur.com/QqabQ7g.png,https://i.imgur.com/brZIyXn.png,https://i.imgur.com/2u4nkQS.png,https://i.imgur.com/rsld1fI.png,https://i.imgur.com/qoQTcBA.png,Monterrey,Apto para hasta 20 participantes,mayores de 3 años.,No,1,Si,1,1024441034,102,444,1034,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
DaytonaMonterrey,in stock,53,Daytona,-,https://i.imgur.com/6xyEWGn.png,"$2,290","Infantes, Niños",Interactivo,Mediano,7,4,2.9,0,impulsado por 1 motor soplador,-,https://i.ibb.co/SwSBkHr/Web-Slide-Daytona-04.png,https://i.ibb.co/JcjvMmL/Web-Slide-Daytona-06.png,https://i.ibb.co/XVTBbkn/Web-Slide-Daytona-05.png,https://i.ibb.co/wQ75FCs/Web-Slide-Daytona-07.png,https://i.ibb.co/kJPSGc9/Web-Slide-Daytona-01.png,Monterrey,Apto para hasta 18 participantes,mayores de 3 años.,No,1,Si,1,1024441029,102,444,1029,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
Brinco escaladoraMonterrey,in stock,54,Brinco escaladora,"Para los más intrépidos aventureros que quieres horas de diversión en su próxima fiesta, este Brincolín es la opción ideal. Con área de Salto, obstáculos y rampa tus Bambinos se divertirán sin parar.",https://i.imgur.com/nlxBjnR.png,"$1,690","Infantes, Niños",Interactivo,Mediano,5.7,4.8,3.2,0,impulsado por 1 motor soplador,-,https://i.imgur.com/wfEOCfg.png,https://i.imgur.com/PJuPKb1.png,https://i.imgur.com/XpdZAQu.png,https://i.imgur.com/NeQyj5y.png,https://i.imgur.com/ORBQnOu.png,Monterrey,Apto para hasta 15 participantes,mayores de 3 años.,No,1,Si,1,1024441025,102,444,1025,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
Zig ZagMonterrey,in stock,55,Zig Zag,-,https://i.imgur.com/QuDpQMO.png,"$1,690","Niños, Adolescentes",Interactivo,Mediano,7,4,3.7,0,impulsado por 1 motor soplador,-,https://i.imgur.com/vkLBK1G.png,https://i.imgur.com/I5lbL9g.png,https://i.imgur.com/MpfXCz8.png,https://i.imgur.com/qPS3mar.png,https://i.imgur.com/rfEmsiR.png,Monterrey,Apto para hasta 20 participantes,mayores de 5 años.,No,1,Si,1,1024441036,102,444,1036,29/10/2020,Precio de renta por evento de hasta 5 horas,FALSE
Kids PlayMonterrey,in stock,56,Kids Play,-,https://i.imgur.com/V4w1OOs.png,"$1,690","Infantes, Niños",Interactivo,Chico,4,3.4,3.2,0,impulsado por 1 motor soplador,-,https://i.imgur.com/WkFTK1m.png,https://i.imgur.com/M0uyTLT.png,https://i.imgur.com/fQW21g6.png,https://i.imgur.com/Qs32F24.png,https://i.imgur.com/yTdUmC8.png,Monterrey,Apto para hasta 12 participantes,mayores de 3 años.,No,1,Si,2,1024441032,102,444,1032,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
Candy PlayMonterrey,in stock,57,Candy Play,-,https://i.imgur.com/r9Fb13D.png,"$1,690",Niños,Interactivo,Chico,4.5,4.2,3,0,impulsado por 1 motor soplador,-,https://i.imgur.com/sngNrc8.png,https://i.imgur.com/oi5mIFS.png,https://i.imgur.com/QlYMCZ2.png,https://i.imgur.com/sngNrc8.png,https://i.imgur.com/ZRfgfs9.png,Monterrey,Apto para 8 participantes,mayores de 4 años.,No,1,Si,1,1024441105,102,444,1105,25/1125,Precio de renta por evento de 5 a 6 horas.,FALSE
Coco SlideMonterrey,in stock,58,Coco Slide,"La bestia de la diversión en todo su esplendor. Un Brincolín que al verlo, tus pequeños darán un grito de emoción y no querrán bajar.",https://i.imgur.com/LcTNbMm.png,"$1,560","Infantes, Niños",Interactivo,Mediano,6.5,3.4,2.8,0,impulsado por 1 motor soplador,-,https://i.imgur.com/uR7LVi7.png,https://i.imgur.com/WBTQAq9.png,https://i.imgur.com/EgY1gSq.png,https://i.imgur.com/2LG3b8D.png,https://i.imgur.com/FxFyGLV.png,Monterrey,Apto para hasta 18 participantes,mayores de 3 años.,No,1,Si,1,1024441028,102,444,1028,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
Interactivo PlusMonterrey,in stock,59,Interactivo Plus,-,https://i.imgur.com/I189FiA.png,"$1,690","Infantes, Niños",Interactivo,Mediano,6,4.5,2.5,0,impulsado por 1 motor soplador,-,https://i.imgur.com/Fx1o3l8.png,https://i.imgur.com/r3tH9qv.png,https://i.imgur.com/sXfOSFR.png,https://i.imgur.com/jW2H4X3.png,https://i.imgur.com/qXMS9UQ.png,Monterrey,Apto para hasta 15 participantes,mayores de 3 años.,No,1,Si,1,1024441031,102,444,1031,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
Boxy InteractivoMonterrey,in stock,60,Boxy Interactivo,-,https://i.imgur.com/7OXPzpf.png,"$1,320","Infantes, Niños",Interactivo,Mediano,5,3.1,2.3,0,impulsado por 1 motor soplador,-,https://i.imgur.com/9iSJ3du.png,https://i.imgur.com/qgUCIRt.png,https://i.imgur.com/BNIoCyU.png,https://i.imgur.com/gZZEkzb.png,https://i.imgur.com/9iSJ3du.png,Monterrey,Apto para hasta 15 participantes,mayores de 5 años.,No,1,Si,1,1024441024,102,444,1024,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
Little RunnerMonterrey,in stock,61,Little Runner,-,https://i.imgur.com/GdYXutP.png,"$1,320","Infantes, Niños",Interactivo,Mediano,5,3,2.4,0,impulsado por 1 motor soplador,-,https://i.imgur.com/AsO7lDb.png,https://i.imgur.com/ntjBY3M.png,https://i.imgur.com/ZEwBsOM.png,https://i.imgur.com/Hyr7NUS.png,https://i.imgur.com/9GLRsft.png,Monterrey,Apto para hasta 15 participantes,mayores de 5 años.,No,1,Si,1,1024441033,102,444,1033,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
Isla PalmerasMonterrey,in stock,62,Isla Palmeras,-,https://i.imgur.com/uWpdfcG.png,"$1,490","Infantes, Niños",Interactivo,Mediano,5,4.4,3.6,0,impulsado por 1 motor soplador,-,https://i.imgur.com/CRuPVSG.png,https://i.imgur.com/Z7No2hD.png,https://i.imgur.com/Y5SUFGs.png,https://i.imgur.com/t0G17sc.png,https://i.imgur.com/kGeyfAn.png,Monterrey,Apto para hasta 10 participantes,mayores de 5 años.,No,1,Si,1,1024441038,102,444,1038,2/2/2021,Precio de renta por evento de hasta 5 horas,FALSE
Ola PalmerasMonterrey,in stock,63,Ola Palmeras,-,https://i.imgur.com/ku5b0lN.png,"$1,490","Infantes, Niños",Interactivo,Mediano,5,4.4,3.2,0,impulsado por 1 motor soplador,-,https://i.imgur.com/ZxfZq6x.png,https://i.imgur.com/kXtKK64.png,https://i.imgur.com/MRIEOV9.png,https://i.imgur.com/bpDFvdr.png,https://i.imgur.com/PZlMU8h.png,Monterrey,Apto para hasta 10 participantes,mayores de 5 años.,No,1,Si,2,1024441039,102,444,1039,2/2/2021,Precio de renta por evento de hasta 5 horas,FALSE
Castillo EscaladorMonterrey,in stock,64,Castillo Escalador,Uno de los clásicos para todas las fiestas. Un Brincolin ideal para espacios pequeños y que tus hijos se diviertan sin parar.,https://i.imgur.com/iApSWrE.png,"$1,320","Infantes, Niños",Interactivo,Mediano,6,3,3.3,0,impulsado por 1 motor soplador,-,https://i.imgur.com/d1TrWjp.png,https://i.imgur.com/ZAlVNME.png,https://i.imgur.com/n2P87M2.png,https://i.imgur.com/d1TrWjp.png,https://i.imgur.com/AkKB0yD.png,Monterrey,Apto para hasta 15 participantes,mayores de 3 años.,No,1,Si,1,1024441027,102,444,1027,29/10/2020,Precio de renta por evento de hasta 5 horas.,FALSE
Super Palace PrincesasMonterrey,in stock,65,Super Palace Princesas,-,https://i.imgur.com/pPtDcLR.png,"$3,490",Niños,Princesas,Mediano,8,4.5,4,0,Impulsado por 1 motor soplador,-,https://i.imgur.com/XjmD5E8.png,https://i.imgur.com/XjmD5E8.png,https://i.imgur.com/kXyRfdQ.png,https://i.imgur.com/POySNi2.png,https://i.imgur.com/OW4DU9y.png,Monterrey,Apto para hasta 24 participantes,Matores de 5 años.,No,1,Si,1,1027771083,102,777,1083,11/11/2022,-,FALSE
Peaches Play HouseMonterrey,in stock,66,Peaches Play House,-,https://i.imgur.com/rha40lu.png,"$3,280",Niños,Princesas,Grande,11,6.7,5,0,impulsado por 2 motores sopladores,-,https://i.imgur.com/I9cSHZ6.png,https://i.imgur.com/4Nywebi.png,https://i.imgur.com/7Nko4xp.png,https://i.imgur.com/I9cSHZ6.png,https://i.imgur.com/4Nywebi.png,Monterrey,Apto para 20 participantes,mayores de 3 años.,No,1,Si,1,1027771096,102,777,1096,29/1/2025,Precio de renta por evento de 1 hora extra,TRUE
Castillo PrincesasMonterrey,in stock,67,Castillo Princesas,-,https://i.imgur.com/fhB9joE.png,"$2,790","Infantes, Niños",Princesas,Grande,6.3,5.8,4.8,0,impulsado por 1 motor soplador,-,https://i.imgur.com/q2d4YlS.png,https://i.imgur.com/V2GfHEq.png,https://i.imgur.com/q2d4YlS.png,https://i.imgur.com/UvXUtAE.png,https://i.imgur.com/obLQmCv.png,Monterrey,Apto para hasta 25 participantes,mayores de 4 años.,No,1,Si,2,1027771060,102,777,1060,29/10/2020,Precio de renta por evento de hasta 5 horas,FALSE
Carrusel de PrincesasMonterrey,in stock,68,Carrusel de Princesas,-,https://i.imgur.com/59jm2pY.png,"$2,790","Infantes, Niños",Princesas,Mediano,6.7,5,4.3,0,impulsado por 1 motor soplador,-,https://i.imgur.com/PFKB3hn.png,https://i.imgur.com/24Dbxz4.png,https://i.imgur.com/BQb4ygq.png,https://i.imgur.com/oU0VT13.png,https://i.imgur.com/LlMkjjT.png,Monterrey,Apto para hasta 20 participantes,mayores de 4 años.,No,1,Si,1,1027771059,102,777,1059,29/10/2020,Precio de renta por evento de hasta 5 horas,FALSE
Unicornio Play HouseMonterrey,in stock,69,Unicornio Play House,Nuestro juego más solicitado. Con un diseño pensado para que tus pequeños jueguen en una misma área. Ahora con Lona con Brillantina.,https://i.imgur.com/YcotivY.png,"$2,390","Infantes, Niños",Personajes,Grande,7.5,5.6,4.3,0,impulsado por 1 motor soplador,-,https://i.imgur.com/yY1J7lb.png.png,https://i.imgur.com/wc8sNjc.png,https://i.imgur.com/0iJ2P3C.png,https://i.imgur.com/wc8sNjc.png,https://i.imgur.com/yM8N8ED.png,Monterrey,Apto para hasta 20 participantes,mayores de 3 años.,No,1,Si,1,1026661057,102,666,1057,29/10/2020,Precio de renta por evento de hasta 5 horas,FALSE
Jurassic Play HouseMonterrey,in stock,70,Jurassic Play House,"Para una fiesta jurasica, tus peques se divertirán en sus áreas de salto, siempre protegidos para evitar caídas delizándose por su tobogán",https://i.imgur.com/nnzLXqF.png,"$2,390","Infantes, Niños, Adolescentes, Adultos",Personajes,Grande,7.5,5.6,4.2,0,impulsado por 1 motor soplador,-,https://i.imgur.com/dRhJohW.png,https://i.imgur.com/ctJBePE.png,https://i.imgur.com/IGZyAGf.png,https://i.imgur.com/zaYjLMA.png,https://i.imgur.com/Zei86Dj.png,Monterrey,Apto para hasta 20 participantes,mayores de 3 años.,No,1,Si,1,1026661078,102,666,1078,2/6/2022,Precio de renta por evento de hasta 5 horas,FALSE
Doble Rampa Unicornio CarameloMonterrey,in stock,71,Doble Rampa Unicornio Caramelo,-,https://i.imgur.com/2Z8TEOt.png,"$1,690","Infantes, Niños",Personajes,Mediano,8,4.5,3,0,impulsado por 1 motor,-,https://i.imgur.com/2bciqfE.png,https://i.imgur.com/jo1wxbP.png,https://i.imgur.com/5xZH6Au.png,https://i.imgur.com/zGS7sUY.png,https://i.imgur.com/Z1liyGB.png,Monterrey,Apto para hasta 12 participantes,mayores de 3 años.,No,1,Si,1,1026661080,102,666,1080,29/10/2020,Precio de renta por evento de hasta 5 horas,FALSE
